,mloglik,tc,mass1,mass2,distance,ra,dec,polarization,inclination,spin1z,spin2z
14,-179200.99668770656,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,0.0,0.000125
15,-179198.12759908635,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,0.000125,0.0
16,-179096.62210937412,3.1,38.599999999999994,29.299999999999997,1025.0,1.37,-1.26,2.76,0.0,0.0,0.0
17,-178450.90387159926,3.1,38.599999999999994,29.299999999999997,1000.0,1.4042500000000002,-1.26,2.76,0.0,0.0,0.0
18,-176876.16595841976,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.2915,2.76,0.0,0.0,0.0
19,-175795.89357337746,3.1,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.8289999999999997,0.0,0.0,0.0
20,-172304.22459076613,3.1,39.093324670159014,28.950699174413224,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0
21,235204.99543825665,3.1775,38.599999999999994,29.299999999999997,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0
22,150603.88052646111,3.1,39.565,30.0325,1000.0,1.37,-1.26,2.76,0.0,0.0,0.0
23,175015.26918125094,3.022500000000001,38.89254205314804,29.375183207208444,1005.0,1.3768500000000006,-1.2663,2.7737999999999996,2.5e-05,2.5e-05,2.5e-05
24,8072.41903947205,3.0612500000000002,38.81933183593422,29.35640113287277,1003.75,1.3751375000000006,-1.2647249999999999,2.7703499999999996,1.8750000000000002e-05,1.8750000000000002e-05,1.8750000000000002e-05
25,166163.7711305575,3.0922500000000013,37.775075455053766,28.509894810360507,1005.75,1.3778775000000003,-1.2672449999999997,2.7758700000000003,2.875e-05,2.875e-05,2.875e-05
